Column,Type,Description
Column,Type,"Description"
cardId,int,"Unique card address"
cardType,string,"Type of the card (Pokémon, Supporter, etc.)"
name,string,"Card name"
img,string,"Card image address"
regulation,string,"Expansion pack name the card belongs to"
setNum,int,"Number of the card in this expansion pack"
setCount,int,"Total number of cards in the same pack"
rarity,string,"Rarity of the card"
dexNum,int,"National Pokédex number of the Pokémon"
dexClass,string,"Classification of the Pokémon"
height,float,"Height of the pokemon"
weight,float,"Weight of the pokemon"
dexDesc,string,"Pokédex description of the Pokémon"
author,string,"Illustrator of the card"
desc,string,"Function of a Trainers card"
stage,string,"Pokémon evolution stage"
hp,int,"Hit point"
pType,list,"Pokémon type in this card"
ability,string,"Ability or Ancient Trait name"
abilityDesc,string,"Ability or Ancient Trait description"
waza1Cost,list,"Cost of the first attack"
waza1Name,string,"Name of the first attack"
waza1Damage,string,"Base damage of the first attack"
waza1Desc,string,"Description of the first attack"
waza2Cost,list,"Cost of the second attack"
waza2Name,string,"Name of the second attack"
waza2Damage,string,"Base damage of the second attack"
waza2Desc,string,"Description of the second attack"
GXCost,list,"Cost of the GX attack"
GXName,string,"Name of the GX attack"
GXDamage,string,"Base damage of the GX attack"
GXDesc,string,"Description of the GX attack"
weakType,string,"Weakness to which type of Pokémon"
weakValue,string,"Weakness value of the attack"
resistType,string,"Resistance to which type of Pokémon"
resistValue,string,"Resistance value of the attack"
escape,int,"Number of energies needed to retreat"
spRule,string,"Special rule of the card"
